iter	RMSE
0	45.65412442
1	43.28699286
2	41.86484898
3	40.94782761
4	40.36960495
5	39.9717224
6	39.68203207
7	39.44979041
8	39.29344069
9	39.12487602
10	39.0064947
11	38.90557183
12	38.82374505
13	38.74115587
14	38.68252996
15	38.62109524
16	38.55787361
17	38.51061368
18	38.45888614
19	38.39190865
20	38.34843395
21	38.30285528
22	38.26619705
23	38.23489683
24	38.19802056
25	38.16726873
26	38.14018108
27	38.10327979
28	38.07117622
29	38.04507863
30	38.02029314
31	37.99219042
32	37.96707309
33	37.94842583
34	37.92233421
35	37.89795631
36	37.87728678
37	37.85782111
38	37.83580644
39	37.81532954
40	37.7929921
41	37.77608346
42	37.75974136
43	37.7419085
44	37.72954641
45	37.71146851
46	37.69889666
47	37.68753385
48	37.67078763
49	37.65214714
50	37.63844613
51	37.62126874
52	37.60525628
53	37.59440187
54	37.57957419
55	37.56451879
56	37.55227242
57	37.54132728
58	37.52805506
59	37.51692406
60	37.50521058
61	37.49144931
62	37.47827587
63	37.46976818
64	37.46087243
65	37.44744778
66	37.43667204
67	37.42558772
68	37.41531706
69	37.40481582
70	37.3963257
71	37.38519685
72	37.37754017
73	37.37190039
74	37.36338338
75	37.35614407
76	37.34805639
77	37.34075562
78	37.33238519
79	37.32220203
80	37.31273994
81	37.30160742
82	37.29075337
83	37.27928354
84	37.27144383
85	37.26017333
86	37.24769141
87	37.23940038
88	37.2295175
89	37.22295646
90	37.21537749
91	37.20800028
92	37.19871792
93	37.19017135
94	37.1811173
95	37.17342645
96	37.16486526
97	37.1596094
98	37.15328147
99	37.14633324
100	37.1374497
101	37.13014513
102	37.12411178
103	37.11697283
104	37.11192738
105	37.10228745
106	37.09412215
107	37.08774763
108	37.0812576
109	37.07383027
110	37.06806396
111	37.06282422
112	37.05516897
113	37.04660769
114	37.0386532
115	37.02912385
116	37.02179579
117	37.01577011
118	37.01007128
119	37.00540238
120	36.99845842
121	36.99213643
122	36.98258304
123	36.97769278
124	36.97236756
125	36.96521203
126	36.95860421
127	36.95188142
128	36.94807907
129	36.94370042
130	36.9391303
131	36.93437599
132	36.92829813
133	36.92164476
134	36.9169202
135	36.91128062
136	36.9046935
137	36.89993493
138	36.89502623
139	36.89023679
140	36.88529854
141	36.87844729
142	36.87317963
143	36.86771791
144	36.86195128
145	36.8539938
146	36.84698734
147	36.84068184
148	36.83574983
149	36.83172159
150	36.82826591
151	36.82359828
152	36.8179981
153	36.81446515
154	36.81038553
155	36.80499161
156	36.79872737
157	36.79321007
158	36.78967938
159	36.78409676
160	36.78067287
161	36.77598123
162	36.77191553
163	36.76740983
164	36.76265703
165	36.75819385
166	36.75459825
167	36.75042488
168	36.74584635
169	36.74196629
170	36.7372037
171	36.7323764
172	36.72905836
173	36.72571964
174	36.72100164
175	36.71630129
176	36.71202252
177	36.70758416
178	36.70237498
179	36.69782212
180	36.69294918
181	36.68911682
182	36.68539944
183	36.68209238
184	36.67857775
185	36.67480122
186	36.67090767
187	36.66799614
188	36.66299249
189	36.65862534
190	36.65372142
