iter	RMSE
191	36.64981263
192	36.64584082
193	36.64188909
194	36.63730334
195	36.63435215
196	36.62835427
197	36.62409803
198	36.62124383
199	36.61867458
200	36.61479289
201	36.61037203
202	36.60712732
203	36.60230627
204	36.59928786
205	36.59494215
206	36.59056006
207	36.58640567
208	36.58281397
209	36.57836275
210	36.57433663
211	36.57137329
212	36.56677173
213	36.56278731
214	36.56011471
215	36.55669668
216	36.55209036
217	36.54856708
218	36.54468302
219	36.54198467
220	36.53886513
221	36.53573118
222	36.53064243
223	36.52712123
224	36.52310671
225	36.51935901
226	36.51442628
227	36.51099274
228	36.50794289
229	36.50524081
230	36.50140188
231	36.49681043
232	36.4937318
233	36.48939228
234	36.48715095
235	36.48229278
236	36.47959244
237	36.4758822
238	36.47283245
239	36.47045087
240	36.46661659
241	36.46367091
242	36.45974584
243	36.4571302
244	36.45401822
245	36.45091851
246	36.44663559
247	36.44250418
248	36.44014674
249	36.43706984
250	36.43229127
251	36.42859541
252	36.42385931
253	36.42076395
254	36.41625317
255	36.41376355
256	36.41055357
257	36.40749729
258	36.4034914
259	36.40180005
260	36.3995964
261	36.39500618
262	36.39168241
263	36.3885375
264	36.38473356
265	36.38134909
266	36.37718093
267	36.37356832
268	36.36933664
269	36.36554869
270	36.36229657
271	36.35979733
272	36.35605133
273	36.35340513
274	36.34944612
275	36.34437121
276	36.34136271
277	36.33935023
278	36.33579107
279	36.33245869
280	36.32817502
281	36.3244959
282	36.32284118
283	36.31932978
284	36.31617447
285	36.31330691
286	36.31033124
287	36.30708782
288	36.3035938
289	36.29806756
290	36.29533166
291	36.29286604
292	36.29016652
293	36.28708047
294	36.28338098
295	36.28066411
296	36.27724447
297	36.27462958
298	36.27150613
299	36.26916239
300	36.26579619
301	36.26374684
302	36.2615069
303	36.25847452
304	36.25542026
305	36.25281329
306	36.24988335
307	36.24649411
308	36.24292291
309	36.23975784
310	36.23558199
311	36.23331403
312	36.22940789
313	36.22668181
314	36.22391591
315	36.22159008
316	36.21737086
317	36.2148693
318	36.21140993
319	36.20674967
320	36.20414971
321	36.2019269
322	36.19824546
323	36.19491514
324	36.19045945
325	36.18727906
326	36.18317723
327	36.17892286
328	36.17540129
329	36.17124623
330	36.1689333
331	36.16502897
332	36.1626356
333	36.15892609
334	36.15567632
335	36.15265546
336	36.14933171
337	36.14530033
338	36.1410767
339	36.13515278
340	36.13291484
341	36.12902846
342	36.12560701
343	36.12263007
344	36.11938912
345	36.11665648
346	36.11366246
347	36.11069656
348	36.1071707
349	36.10346417
350	36.10117159
351	36.09867585
352	36.09533514
353	36.09234138
354	36.08921583
355	36.08724921
356	36.08385883
357	36.08038909
358	36.07540966
359	36.07282205
360	36.07025333
361	36.0665962
362	36.06333555
363	36.05822464
364	36.05567405
365	36.05254747
366	36.05012408
367	36.04736588
368	36.04435307
369	36.0419954
370	36.04048543
371	36.03764516
372	36.03543569
373	36.03289951
374	36.02943188
375	36.02662108
376	36.02415849
377	36.02064356
378	36.01804824
379	36.01504938
380	36.0127432
381	36.01066151
